Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
173381,240965939,G,18.2371,-0.0122939,-17.031,-6.52121,17.031,-0.374114,-1.57152,-1,G,17.5077,-4.36934,14.826,-8.22231,15.1671,-0.509571,1.85715,-1,32.1909
173381,242345045,G,31.4055,-18.8532,-18.495,16.9937,26.4104,0.605721,-2.36579,1,G,23.8362,10.0799,19.1864,-9.92129,20.2005,-0.443062,1.0877,1,54.0757
173381,243084772,G,138.663,-121.688,-0.541778,-66.4749,121.69,-0.522206,-3.13714,1,G,42.4327,42.3355,-2.77183,-0.74022,42.4261,-0.0174464,-0.0653797,1,148.222
173381,244461635,G,38.384,17.5342,-5.25576,-33.738,18.3049,-1.37119,-0.291221,-1,G,22.0491,-19.3214,10.4043,-2.14155,21.9446,-0.0974345,2.64763,-1,48.3231
173381,247340741,G,39.4227,23.9028,-9.47788,29.8825,25.7133,0.991509,-0.377501,1,G,31.7812,22.589,-9.66784,20.1571,24.5709,0.748491,-0.4044,1,6.16434
173381,247018518,G,80.0267,12.4385,17.0496,-77.1936,21.1046,-2.00816,0.940511,-1,G,73.4063,-6.12215,-15.4772,-71.4944,16.644,-2.164,-1.94747,-1,37.2986
173381,246893183,G,29.1927,-23.3319,17.5086,-1.12839,29.3589,-0.038872,2.49789,-1,G,12.7377,-10.1949,7.63076,-0.270129,20.1714,-0.0184424,2.50509,-1,0.408185
173381,252702909,G,16.8228,8.76778,-14.3367,0.761883,16.8052,0.0453206,-1.02192,1,G,19.7358,-10.8881,13.8306,8.92509,16.9016,0.487487,2.23813,1,35.1844
173381,255182160,G,32.4359,12.5184,-12.0734,-27.3788,17.3919,-1.23524,-0.767302,-1,G,19.0211,-16.6737,-0.10283,-9.15251,16.6741,-0.524523,-3.13543,-1,33.8787
173381,256218380,G,58.0016,-34.4915,-46.3382,-5.22328,57.7659,-0.0902988,-2.21067,1,G,19.9186,9.19624,15.1762,9.04719,17.4817,0.489984,1.02615,1,66.6785
173381,255983728,G,101.056,19.623,14.6002,-98.0514,24.4587,-2.09686,0.639671,-1,G,24.6115,-14.784,-9.15637,-17.4157,17.3898,-0.882425,-2.58707,-1,49.0572
173381,256965393,G,64.1765,-18.1929,1.79195,-61.5177,18.2809,-1.92799,3.04341,1,G,64.574,32.1411,-14.6629,-54.0531,35.3278,-1.21132,-0.428,1,53.4779
173381,257342137,G,43.2993,-30.108,24.6544,18.9864,38.9144,0.470364,2.45545,-1,G,32.9961,30.0455,-12.9035,4.41548,33.1548,0.134201,-0.405557,-1,71.6606
173381,262900567,G,16.5418,-7.88375,-14.5413,-0.133813,16.541,-0.0080897,-2.0676,-1,G,35.4634,17.0791,25.0128,18.4474,30.067,0.576541,0.971648,-1,46.6364
173692,1211371885,G,54.9657,27.2693,11.3081,46.3652,29.521,1.23329,0.393101,-1,G,19.7949,-19.2469,2.91266,3.59159,19.466,0.183475,2.9914,-1,53.1683
173692,1211717199,G,16.6108,-13.7587,-9.14568,1.72073,16.5211,0.103966,-2.55494,1,G,48.339,14.4207,44.1162,-13.5074,46.4133,-0.287066,1.25486,1,53.4431
173692,1212679968,G,24.4055,22.5358,-9.1001,2.22409,24.3038,0.091385,-0.383784,1,G,25.4839,-25.1065,-1.91521,3.92643,25.1794,0.155313,-3.06546,1,48.1994
173692,1212505223,G,34.7475,15.7823,18.1249,25.0955,24.0332,0.912286,0.854377,1,G,23.475,-7.67016,-16.8664,14.4137,18.5286,0.715333,-1.9976,1,41.97
173692,1215411223,G,22.4282,13.7514,7.4186,16.0897,15.6249,0.902251,0.49473,-1,G,27.1651,-20.7359,-12.6127,-12.2014,24.2705,-0.483647,-2.59512,-1,48.6684
173692,1214853642,G,46.169,-18.0242,-14.0799,-40.1055,22.8717,-1.32763,-2.47844,-1,G,54.9698,23.667,33.8299,-36.2916,41.2867,-0.793188,0.960346,-1,63.013
173692,1216467406,G,31.4091,-19.3718,-0.00140698,-24.7235,19.3718,-1.06389,-3.14152,-1,G,78.2632,59.243,48.801,-15.2921,76.89,-0.197896,0.689067,-1,80.3471
173692,1218335863,G,61.3863,15.7582,-7.91379,58.799,17.6338,1.91922,-0.465407,-1,G,18.6063,-8.59529,-13.1395,9.98287,15.7012,0.599284,-2.15009,-1,34.2539
173692,1219258066,G,17.681,-2.58951,-16.2346,-6.50669,16.4399,-0.386121,-1.72897,1,T,16.655,-1.13887,-15.6323,-5.63124,15.6738,-0.351966,-1.64352,1,1.49182
173692,1220795136,G,34.6657,0.108408,-32.0427,-13.2269,32.0429,-0.401881,-1.56741,-1,G,20.0518,2.28711,18.588,7.16379,18.7282,0.373752,1.44837,-1,52.6353
173692,1219956809,G,130.128,-38.3824,4.59802,-124.253,38.6568,-1.88411,3.02237,1,G,20.9829,15.1354,0.386645,-14.5273,15.1404,-0.852448,0.0255401,1,54.8556
173692,1220035669,G,37.9597,-15.4158,-13.0342,32.1463,20.1876,1.24494,-2.43971,-1,G,38.4161,19.2348,24.6612,-22.3078,31.2754,-0.663502,0.908394,-1,74.7442
173692,1220795429,G,29.6793,24.3692,11.7245,-12.2283,27.0429,-0.438039,0.44843,-1,T,19.9198,14.9663,8.86028,-9.7106,17.3923,-0.532764,0.534529,-1,2.78466
173692,1222613958,G,34.3817,15.5442,-5.1712,30.2279,16.3818,1.37219,-0.32116,-1,G,24.8096,-20.1267,-4.02148,13.9372,20.5245,0.635422,-2.94438,-1,38.0465
173692,1224182413,G,20.0075,14.4226,-8.63097,10.8529,16.8079,0.607618,-0.539268,1,G,26.1082,-13.9583,12.1779,18.3981,18.5239,0.876562,2.42421,1,35.4717
173692,1225483374,G,46.6999,-6.80521,-18.1248,42.4977,19.3603,1.52763,-1.92997,-1,G,16.2351,-15.8779,-1.75768,-2.89296,15.9749,-0.180119,-3.03134,-1,38.5025
173692,1224840765,G,20.0697,19.2763,1.6215,5.34577,19.3443,0.272946,0.0839214,-1,G,21.8221,-17.9959,6.86836,10.2551,19.262,0.510001,2.77699,-1,37.9186
173692,1225483139,G,30.22,-17.2546,-9.31875,22.993,19.6102,0.998252,-2.6464,-1,G,23.5057,17.5006,9.16957,-12.734,19.7574,-0.606622,0.482628,-1,52.7364
173692,1227745934,G,98.2087,-19.461,-27.9385,-92.1176,34.0483,-1.72096,-2.17921,1,G,20.4165,13.0163,15.1817,4.11271,19.9595,0.204237,0.862052,1,78.2485
173692,1228639583,G,70.9696,-22.2938,33.0241,58.7288,39.8447,1.18022,2.1646,1,G,22.1325,3.77035,-14.7006,16.1094,15.1764,0.924182,-1.31973,1,48.8711
173692,1230599939,G,91.4962,-30.9743,-1.95574,-86.0716,31.036,-1.74421,-3.07854,1,G,16.6019,10.3309,11.8046,5.43477,15.3897,0.3401,0.852105,1,68.2625
173692,1230399031,G,82.5231,2.03863,-35.1339,74.6425,35.193,1.49645,-1.51284,-1,G,62.9656,2.96934,62.3282,-8.42866,62.3989,-0.13467,1.52319,-1,126.563
173692,1231910097,G,46.2234,12.0897,-11.9709,-42.9782,17.0136,-1.65688,-0.780459,1,G,21.3933,-19.1837,8.45092,4.26952,19.7935,0.202183,2.7271,1,54.872
173692,1230965652,G,26.0596,8.14759,-12.6329,21.2866,15.0324,1.14727,-0.997979,1,G,22.0799,-13.9917,16.4588,4.56619,21.6023,0.209832,2.27535,1,40.0032
173692,1232527809,G,44.5723,-14.7415,-9.37017,41.0069,17.4674,1.5891,-2.57538,-1,G,20.5091,15.8806,4.44756,12.1917,16.0675,0.68456,0.272773,-1,37.1479
173692,1232575494,G,30.8988,12.5772,11.1063,25.9459,16.7791,1.22019,0.723371,1,G,24.9277,-11.8906,-11.8185,18.4476,16.765,0.950593,-2.35924,1,33.8355
173692,1233501135,G,27.1672,20.4011,2.33088,-17.7879,20.5338,-0.783588,0.11376,1,G,18.998,-7.69657,15.7117,7.40396,17.4956,0.41148,2.0263,1,39.1977
173692,1234941417,G,38.023,20.1978,0.901666,-32.202,20.218,-1.24513,0.0446121,1,G,26.992,13.7145,21.9277,7.72314,25.8633,0.294345,1.01188,1,44.2324
173692,1238175612,G,25.1594,16.7521,0.577155,18.7622,16.762,0.963286,0.0344391,1,G,20.5671,-14.7708,3.66269,13.8349,15.2182,0.815617,2.89853,1,31.7245
173692,1238342313,G,24.9919,-10.8607,21.0507,-7.96845,23.6873,-0.33036,2.0471,1,G,26.626,12.426,-14.3399,-18.6787,18.9747,-0.8703,-0.85678,1,43.6675
173692,1238726665,G,31.0868,5.55239,20.0158,-23.1282,20.7716,-0.959366,1.3002,1,G,18.7692,-7.817,-15.142,7.86657,17.0408,0.446635,-2.04736,1,47.1573
173692,1239077848,G,98.6754,-70.0234,-69.2924,-5.66639,57.7767,-0.0414736,-2.35473,1,G,24.4191,18.8789,11.7899,-10.0432,239.675,-0.419477,0.552289,1,94.7795
173692,1241426747,G,81.3905,-21.0878,19.3599,76.1899,28.6269,1.70559,2.39889,-1,G,26.4278,8.525,-17.7872,-17.5885,19.7246,-0.802687,-1.12386,-1,89.6123
173692,1241344766,G,19.6464,2.04349,-14.9932,-12.5298,15.1318,-0.754417,-1.43534,1,G,23.8584,-15.4473,-0.952671,-18.1572,15.4767,-0.998699,-3.08,1,22.7385
173692,1242585897,G,20.3083,19.6714,-3.27258,3.83942,19.9476,0.191366,-0.164864,1,T,19.7992,19.0515,-3.92043,3.69684,19.4507,0.188936,-0.202947,1,0.780882
173692,1244095963,G,23.8907,-15.9663,2.81192,-17.5478,16.212,-0.938452,2.96726,1,G,21.2985,15.4671,-5.90515,-13.3982,16.5561,-0.739883,-0.364707,1,32.781
